Date,Apple,Amazon,Google,Intel,Microsoft,NVIDIA,AMD,S&P 500
2023-03-01 00:00:00-05:00,144.53848266601562,92.16999816894531,90.36000061035156,24.98065948486328,244.26524353027344,226.86866760253906,78.29000091552734,3951.389892578125
2023-03-02 00:00:00-05:00,145.1353302001953,92.12999725341797,92.0,25.838665008544922,249.0658416748047,233.0256805419922,80.44000244140625,3981.35009765625
2023-03-03 00:00:00-05:00,150.22811889648438,94.9000015258789,93.6500015258789,26.035903930664062,253.21182250976562,238.78285217285156,81.5199966430664,4045.639892578125
2023-03-06 00:00:00-05:00,153.01327514648438,93.75,95.12999725341797,25.631559371948242,254.77896118164062,235.4244842529297,81.16000366210938,4048.419921875
2023-03-07 00:00:00-05:00,150.7951202392578,93.55000305175781,93.86000061035156,25.177902221679688,252.08108520507812,232.80532836914062,82.11000061035156,3986.3701171875
2023-03-08 00:00:00-05:00,152.05836486816406,93.91999816894531,94.25,25.621694564819336,251.63475036621094,241.7324676513672,85.37000274658203,3992.010009765625
2023-03-09 00:00:00-05:00,149.79046630859375,92.25,92.31999969482422,26.075349807739258,250.26600646972656,234.2848663330078,84.02999877929688,3918.320068359375
2023-03-10 00:00:00-05:00,147.71156311035156,90.7300033569336,90.62999725341797,26.844593048095703,246.56634521484375,229.5763702392578,82.66999816894531,3861.590087890625
2023-03-13 00:00:00-04:00,149.6710968017578,92.43000030517578,91.11000061035156,26.578319549560547,251.85296630859375,229.58636474609375,82.01000213623047,3855.760009765625
2023-03-14 00:00:00-04:00,151.77984619140625,94.87999725341797,93.97000122070312,27.623699188232422,258.66705322265625,240.55284118652344,87.44999694824219,3919.2900390625
2023-03-15 00:00:00-04:00,152.177734375,96.19999694824219,96.11000061035156,28.01818084716797,263.2791748046875,242.20230102539062,89.68000030517578,3891.929931640625
2023-03-16 00:00:00-04:00,155.02255249023438,100.04000091552734,100.31999969482422,29.76377296447754,273.9516296386719,255.32810974121094,96.5999984741211,3960.280029296875
2023-03-17 00:00:00-04:00,154.1770477294922,98.94999694824219,101.62000274658203,29.398874282836914,277.1553039550781,257.16754150390625,97.83999633789062,3916.639892578125
2023-03-20 00:00:00-04:00,156.5642852783203,97.70999908447266,101.22000122070312,28.75783920288086,270.013916015625,258.9169616699219,96.80999755859375,3951.570068359375
2023-03-21 00:00:00-04:00,158.434326171875,100.61000061035156,104.91999816894531,28.06749153137207,271.55126953125,261.9059753417969,95.93000030517578,4002.8701171875
2023-03-22 00:00:00-04:00,156.9920196533203,98.69999694824219,103.37000274658203,27.74204444885254,270.0734558105469,264.5951232910156,97.58000183105469,3936.969970703125
2023-03-23 00:00:00-04:00,158.086181640625,98.70999908447266,105.5999984741211,28.6296329498291,275.39971923828125,271.82281494140625,100.27999877929688,3948.719970703125
2023-03-24 00:00:00-04:00,159.399169921875,98.12999725341797,105.44000244140625,28.955081939697266,278.2860412597656,267.7041320800781,97.94999694824219,3970.989990234375
2023-03-27 00:00:00-04:00,157.43963623046875,98.04000091552734,102.45999908447266,28.777563095092773,274.1301574707031,265.2249450683594,96.61000061035156,3977.530029296875
2023-03-28 00:00:00-04:00,156.81297302246094,97.23999786376953,101.02999877929688,28.886049270629883,272.9895324707031,264.01531982421875,94.55999755859375,3971.27001953125
2023-03-29 00:00:00-04:00,159.9164276123047,100.25,101.38999938964844,31.085290908813477,278.2265319824219,269.75347900390625,96.08999633789062,4027.81005859375
2023-03-30 00:00:00-04:00,161.4979705810547,102.0,100.88999938964844,31.647430419921875,281.7377014160156,273.7421875,97.87999725341797,4050.830078125
2023-03-31 00:00:00-04:00,164.02447509765625,103.29000091552734,103.7300033569336,32.21942901611328,285.9530944824219,277.680908203125,98.01000213623047,4109.31005859375
2023-04-03 00:00:00-04:00,165.28775024414062,102.41000366210938,104.36000061035156,32.43639373779297,284.8918151855469,279.560302734375,96.55999755859375,4124.509765625
2023-04-04 00:00:00-04:00,164.7506103515625,103.94999694824219,104.72000122070312,32.64349365234375,284.84222412109375,274.44195556640625,95.87000274658203,4100.60009765625
2023-04-05 00:00:00-04:00,162.89053344726562,101.0999984741211,104.47000122070312,32.377227783203125,282.0252990722656,268.7238464355469,92.55999755859375,4090.3798828125
2023-04-06 00:00:00-04:00,163.7857666015625,102.05999755859375,108.41999816894531,32.357505798339844,289.2262268066406,270.28326416015625,92.47000122070312,4105.02001953125
2023-04-10 00:00:00-04:00,161.16973876953125,102.16999816894531,106.44000244140625,32.071502685546875,287.03424072265625,275.7015686035156,95.4800033569336,4109.10986328125
2023-04-11 00:00:00-04:00,159.94625854492188,99.91999816894531,105.3499984741211,31.903841018676758,280.5276184082031,271.6028747558594,94.02999877929688,4108.93994140625
2023-04-12 00:00:00-04:00,159.24998474121094,97.83000183105469,104.63999938964844,31.578393936157227,281.1822509765625,264.8650817871094,92.33000183105469,4091.949951171875
2023-04-13 00:00:00-04:00,164.6809844970703,102.4000015258789,107.43000030517578,31.686878204345703,287.4805603027344,264.545166015625,92.08999633789062,4146.22021484375
2023-04-14 00:00:00-04:00,164.33285522460938,102.51000213623047,108.87000274658203,31.450185775756836,283.8106689453125,267.49420166015625,91.75,4137.64013671875
2023-04-17 00:00:00-04:00,164.35272216796875,102.73999786376953,105.97000122070312,31.696739196777344,286.4490051269531,269.93341064453125,89.87000274658203,4151.31982421875
2023-04-18 00:00:00-04:00,165.58615112304688,102.30000305175781,104.5,31.39101219177246,286.02252197265625,276.581298828125,89.77999877929688,4154.8701171875
